,연도,일시,측정소,PM2.5,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
0,4,01-01 00:00,논산,0.024,0.2638230647709321,0.0097222222222222,0.0383631713554987,0.0,0.683
1,4,01-01 01:00,논산,0.036,0.2464454976303317,0.1755555555555555,0.0255754475703324,0.0,0.746
2,4,01-01 02:00,논산,0.028,0.2306477093206951,0.1508333333333333,0.0153452685421994,0.0,0.805
3,4,01-01 03:00,논산,0.024,0.2274881516587678,0.1830555555555555,0.0204603580562659,0.0,0.8180000000000001
4,4,01-01 04:00,논산,0.04,0.2195892575039494,0.1394444444444444,0.0281329923273657,0.0,0.8180000000000001
5,4,01-01 05:00,논산,0.04,0.2085308056872038,0.1319444444444444,0.0281329923273657,0.0,0.841
6,4,01-01 06:00,논산,0.048,0.2069510268562401,0.1230555555555555,0.0255754475703324,0.0,0.841
7,4,01-01 07:00,논산,0.056,0.2511848341232228,0.0983333333333333,0.0281329923273657,0.0,0.777
8,4,01-01 08:00,논산,0.132,0.3143759873617693,0.1663888888888889,0.0204603580562659,0.0,0.617
9,4,01-01 09:00,논산,0.1,0.3238546603475514,0.4816666666666667,0.0153452685421994,0.0,0.5640000000000001
10,4,01-01 10:00,논산,0.184,0.3364928909952607,0.5463888888888889,0.0383631713554987,0.0,0.529
11,4,01-01 11:00,논산,0.128,0.3617693522906793,0.5991666666666666,0.0358056265984654,0.0,0.476
12,4,01-01 12:00,논산,0.164,0.3902053712480253,0.528888888888889,0.0460358056265984,0.0,0.426
13,4,01-01 13:00,논산,0.132,0.3870458135860979,0.6952777777777779,0.0537084398976982,0.0,0.395
14,4,01-01 14:00,논산,0.072,0.3917851500789889,0.7169444444444445,0.0664961636828644,0.0,0.365
15,4,01-01 15:00,논산,0.04,0.3744075829383886,0.795,0.0946291560102301,0.0,0.393
16,4,01-01 16:00,논산,0.028,0.3475513428120063,0.815,0.0818414322250639,0.0,0.428
17,4,01-01 17:00,논산,0.004,0.330173775671406,0.8169444444444446,0.0818414322250639,0.0,0.472
18,4,01-01 18:00,논산,0.008,0.3175355450236967,0.7972222222222223,0.0511508951406649,0.0,0.537
19,4,01-01 19:00,논산,0.004,0.3096366508688783,0.7858333333333333,0.0409207161125319,0.0,0.5690000000000001
20,4,01-01 20:00,논산,0.024,0.2985781990521327,0.0,0.0076726342710997,0.0,0.6
21,4,01-01 21:00,논산,0.02,0.2764612954186414,0.3288888888888889,0.0358056265984654,0.0,0.716
22,4,01-01 22:00,논산,0.028,0.2717219589257504,0.0,0.0102301790281329,0.0,0.777
23,4,01-01 23:00,논산,0.028,0.2606635071090047,0.0522222222222222,0.0179028132992327,0.0,0.781
24,4,01-02 00:00,논산,0.04,0.2638230647709321,0.1844444444444444,0.0332480818414322,0.0,0.771
25,4,01-02 01:00,논산,0.024,0.2496050552922591,0.9805555555555556,0.0179028132992327,0.0,0.7939999999999999
26,4,01-02 02:00,논산,0.04,0.2480252764612954,0.0,0.0076726342710997,0.0,0.808
27,4,01-02 03:00,논산,0.044,0.2590837282780411,0.0,0.0076726342710997,0.0,0.7959999999999999
28,4,01-02 04:00,논산,0.052,0.2511848341232228,0.995,0.0281329923273657,0.0,0.816
29,4,01-02 05:00,논산,0.056,0.2906793048973144,0.9291666666666668,0.0767263427109974,0.0,0.738
30,4,01-02 06:00,논산,0.06,0.2890995260663507,0.975277777777778,0.0179028132992327,0.0,0.8150000000000001
31,4,01-02 07:00,논산,0.048,0.292259083728278,0.8775,0.0358056265984654,0.0,0.8150000000000001
32,4,01-02 08:00,논산,0.056,0.3191153238546603,0.7686111111111111,0.0204603580562659,0.0,0.726
33,4,01-02 09:00,논산,0.116,0.3412322274881517,0.6758333333333334,0.0204603580562659,0.0,0.592
34,4,01-02 10:00,논산,0.136,0.363349131121643,0.8297222222222222,0.1381074168797954,0.0,0.435
35,4,01-02 11:00,논산,0.12,0.3712480252764613,0.8766666666666668,0.1253196930946291,0.0,0.411
36,4,01-02 12:00,논산,0.06,0.3696682464454977,0.7908333333333333,0.1994884910485933,0.0,0.353
37,4,01-02 13:00,논산,0.056,0.3665086887835703,0.85,0.1867007672634271,0.0,0.354
38,4,01-02 14:00,논산,0.048,0.3649289099526067,0.8594444444444445,0.1508951406649616,0.0,0.379
39,4,01-02 15:00,논산,0.036,0.3475513428120063,0.7838888888888889,0.1227621483375959,0.0,0.418
40,4,01-02 16:00,논산,0.012,0.3317535545023697,0.8036111111111112,0.1406649616368286,0.0,0.4679999999999999
41,4,01-02 17:00,논산,0.004,0.3222748815165877,0.7869444444444446,0.1048593350383631,0.0,0.518
42,4,01-02 18:00,논산,0.008,0.3127962085308057,0.7666666666666667,0.0741687979539642,0.0,0.558
43,4,01-02 19:00,논산,0.004,0.311216429699842,0.8161111111111111,0.0792838874680307,0.0,0.5559999999999999
44,4,01-02 20:00,논산,0.024,0.3033175355450237,0.9016666666666668,0.0460358056265984,0.0,0.558
45,4,01-02 21:00,논산,0.024,0.2938388625592417,0.9380555555555556,0.0588235294117647,0.0,0.596
46,4,01-02 22:00,논산,0.02,0.2748815165876777,0.0569444444444444,0.0230179028132992,0.0,0.653
47,4,01-02 23:00,논산,0.02,0.2622432859399684,0.3433333333333333,0.0281329923273657,0.0,0.74
48,4,01-06 00:00,논산,0.056,0.2527646129541864,0.0733333333333333,0.0230179028132992,0.0,0.8320000000000001
49,4,01-06 01:00,논산,0.06,0.2496050552922591,0.2888888888888889,0.0179028132992327,0.0,0.843
50,4,01-06 02:00,논산,0.04,0.2401263823064771,0.0,0.0076726342710997,0.0,0.856
51,4,01-06 03:00,논산,0.036,0.2464454976303317,0.1775,0.0153452685421994,0.0,0.8450000000000001
52,4,01-06 04:00,논산,0.048,0.2527646129541864,0.275,0.0230179028132992,0.0,0.848
53,4,01-06 05:00,논산,0.064,0.2401263823064771,0.0,0.0102301790281329,0.0,0.859
54,4,01-06 06:00,논산,0.076,0.2432859399684044,0.0947222222222222,0.0306905370843989,0.0,0.851
55,4,01-06 07:00,논산,0.048,0.2669826224328594,0.1127777777777777,0.0230179028132992,0.0,0.821
56,4,01-06 08:00,논산,0.048,0.3143759873617693,0.9869444444444444,0.0153452685421994,0.0,0.738
57,4,01-06 09:00,논산,0.116,0.363349131121643,0.545,0.0204603580562659,0.0,0.619
58,4,01-06 10:00,논산,0.168,0.382306477093207,0.7769444444444444,0.0153452685421994,0.0,0.521
59,4,01-06 11:00,논산,0.14,0.3933649289099526,0.7805555555555556,0.0383631713554987,0.0,0.518
60,4,01-06 12:00,논산,0.132,0.3996840442338073,0.6897222222222222,0.0843989769820971,0.0,0.553
61,4,01-06 13:00,논산,0.084,0.3981042654028436,0.5936111111111111,0.0716112531969309,0.0,0.624
62,4,01-06 14:00,논산,0.08,0.401263823064771,0.6411111111111112,0.1074168797953964,0.0,0.667
63,4,01-06 15:00,논산,0.044,0.3886255924170616,0.6591666666666667,0.1099744245524296,0.0,0.8370000000000001
64,4,01-06 16:00,논산,0.036,0.3791469194312796,0.6552777777777778,0.0588235294117647,0.0,0.891
65,4,01-06 17:00,논산,0.004,0.3744075829383886,0.8277777777777778,0.0895140664961636,0.0,0.7470000000000001
66,4,01-06 18:00,논산,0.012,0.3601895734597157,0.8144444444444444,0.1278772378516624,0.0,0.593
67,4,01-06 19:00,논산,0.004,0.3459715639810427,0.8058333333333334,0.0946291560102301,0.0,0.555
68,4,01-06 20:00,논산,0.004,0.325434439178515,0.9819444444444444,0.0562659846547314,0.0,0.5509999999999999
69,4,01-06 21:00,논산,0.008,0.311216429699842,0.9527777777777778,0.0613810741687979,0.0,0.537
70,4,01-06 22:00,논산,0.004,0.2985781990521327,0.8330555555555555,0.0511508951406649,0.0,0.566
71,4,01-06 23:00,논산,0.012,0.273301737756714,0.937777777777778,0.0332480818414322,0.0,0.6589999999999999
72,4,01-07 00:00,논산,0.008,0.2685624012638231,0.9516666666666668,0.0434782608695652,0.0,0.624
73,4,01-07 01:00,논산,0.04,0.2464454976303317,0.7344444444444445,0.0306905370843989,0.0,0.716
74,4,01-07 02:00,논산,0.036,0.2274881516587678,0.0,0.0,0.0,0.805
75,4,01-07 03:00,논산,0.036,0.2180094786729857,0.1077777777777777,0.0255754475703324,0.0,0.819
76,4,01-07 04:00,논산,0.032,0.2085308056872038,0.0675,0.0153452685421994,0.0,0.7959999999999999
77,4,01-07 05:00,논산,0.036,0.2022116903633491,0.1644444444444444,0.0230179028132992,0.0,0.821
78,4,01-07 06:00,논산,0.044,0.1990521327014218,0.1305555555555555,0.0127877237851662,0.0,0.8420000000000001
79,4,01-07 07:00,논산,0.076,0.2432859399684044,0.0,0.0076726342710997,0.0,0.733
80,4,01-07 08:00,논산,0.116,0.2875197472353871,0.5638888888888889,0.0153452685421994,0.0,0.625
81,4,01-07 09:00,논산,0.148,0.3317535545023697,0.1466666666666666,0.0230179028132992,0.0,0.4519999999999999
82,4,01-07 10:00,논산,0.172,0.34913112164297,0.8977777777777778,0.0358056265984654,0.0,0.4059999999999999
83,4,01-07 11:00,논산,0.164,0.3570300157977883,0.7383333333333334,0.0383631713554987,0.0,0.3809999999999999
84,4,01-07 12:00,논산,0.176,0.3933649289099526,0.0755555555555555,0.0332480818414322,0.0,0.303
85,4,01-07 13:00,논산,0.148,0.3996840442338073,0.3238888888888889,0.0358056265984654,0.0,0.2669999999999999
86,4,01-07 14:00,논산,0.104,0.4186413902053713,0.3805555555555556,0.0281329923273657,0.0,0.229
87,4,01-07 15:00,논산,0.072,0.4028436018957346,0.6822222222222223,0.0281329923273657,0.0,0.241
88,4,01-07 16:00,논산,0.052,0.358609794628752,0.8405555555555556,0.0511508951406649,0.0,0.329
89,4,01-07 17:00,논산,0.016,0.325434439178515,0.9388888888888888,0.0230179028132992,0.0,0.408
90,4,01-07 18:00,논산,0.016,0.2985781990521327,0.7836111111111113,0.0127877237851662,0.0,0.498
91,4,01-07 19:00,논산,0.06,0.282780410742496,0.0,0.0025575447570332,0.0,0.596
92,4,01-07 20:00,논산,0.08,0.2685624012638231,0.7755555555555556,0.0153452685421994,0.0,0.663
93,4,01-07 21:00,논산,0.04,0.244865718799368,0.0,0.0051150895140664,0.0,0.7370000000000001
94,4,01-07 22:00,논산,0.024,0.2401263823064771,0.1677777777777777,0.0306905370843989,0.0,0.7100000000000001
95,4,01-07 23:00,논산,0.056,0.2322274881516587,0.2938888888888888,0.0179028132992327,0.0,0.731
96,4,01-11 00:00,논산,0.112,0.3270142180094787,0.2888888888888889,0.0281329923273657,0.0,0.694
97,4,01-11 01:00,논산,0.124,0.320695102685624,0.8625,0.0153452685421994,0.0,0.7370000000000001
98,4,01-11 02:00,논산,0.132,0.3317535545023697,0.0,0.0076726342710997,0.0,0.7000000000000001
99,4,01-11 03:00,논산,0.128,0.339652448657188,0.4541666666666666,0.0153452685421994,0.0,0.6639999999999999
100,4,01-11 04:00,논산,0.136,0.344391785150079,0.9558333333333334,0.0179028132992327,0.0,0.6759999999999999
101,4,01-11 05:00,논산,0.108,0.3475513428120063,0.8097222222222222,0.0204603580562659,0.0,0.658
102,4,01-11 06:00,논산,0.128,0.358609794628752,0.0333333333333333,0.0127877237851662,0.0,0.614
103,4,01-11 07:00,논산,0.132,0.3696682464454977,0.8236111111111112,0.0255754475703324,0.0,0.583
104,4,01-11 08:00,논산,0.124,0.4044233807266983,0.7905555555555557,0.0179028132992327,0.0,0.49
105,4,01-11 09:00,논산,0.184,0.4407582938388626,0.9433333333333336,0.0281329923273657,0.0,0.416
106,4,01-11 10:00,논산,0.196,0.4849921011058452,0.9733333333333332,0.0281329923273657,0.0,0.353
107,4,01-11 11:00,논산,0.168,0.4944707740916272,0.7330555555555556,0.0383631713554987,0.0,0.368
108,4,01-11 12:00,논산,0.1,0.5007898894154819,0.7122222222222222,0.0434782608695652,0.0,0.4059999999999999
109,4,01-11 13:00,논산,0.092,0.5055292259083729,0.0,0.0102301790281329,0.0,0.43
110,4,01-11 14:00,논산,0.1,0.5055292259083729,0.9633333333333334,0.0153452685421994,0.0,0.445
111,4,01-11 15:00,논산,0.08,0.4992101105845182,0.0,0.0,0.0,0.465
112,4,01-11 16:00,논산,0.072,0.4802527646129542,0.0,0.0,0.0,0.547
113,4,01-11 17:00,논산,0.084,0.4676145339652449,0.3527777777777778,0.0153452685421994,0.0,0.6900000000000001
114,4,01-11 18:00,논산,0.144,0.4565560821484992,0.3705555555555556,0.0332480818414322,0.0,0.683
115,4,01-11 19:00,논산,0.152,0.4296998420221169,0.0,0.0051150895140664,0.0,0.741
116,4,01-11 20:00,논산,0.164,0.4296998420221169,0.9775,0.0179028132992327,0.0,0.721
117,4,01-11 21:00,논산,0.156,0.4312796208530806,0.0,0.0102301790281329,0.0,0.734
118,4,01-11 22:00,논산,0.156,0.4312796208530806,0.0,0.0102301790281329,0.0,0.7270000000000001
119,4,01-11 23:00,논산,0.184,0.4296998420221169,0.0,0.0025575447570332,0.0,0.646
120,4,01-12 00:00,논산,0.216,0.4218009478672986,0.0,0.0051150895140664,0.0,0.6609999999999999
121,4,01-12 01:00,논산,0.22,0.4218009478672986,0.0011111111111111,0.0179028132992327,0.0,0.612
122,4,01-12 02:00,논산,0.192,0.4075829383886256,0.9519444444444444,0.0230179028132992,0.0,0.631
123,4,01-12 03:00,논산,0.18,0.3917851500789889,0.7980555555555556,0.0230179028132992,0.0,0.683
124,4,01-12 04:00,논산,0.176,0.3838862559241706,0.0,0.0,0.0,0.731
125,4,01-12 05:00,논산,0.18,0.3744075829383886,0.2905555555555555,0.0358056265984654,0.0,0.8130000000000001
126,4,01-12 06:00,논산,0.184,0.3570300157977883,0.0,0.0051150895140664,0.0,0.8570000000000001
127,4,01-12 07:00,논산,0.188,0.4107424960505529,0.0,0.0102301790281329,0.0,0.682
128,4,01-12 08:00,논산,0.192,0.4407582938388626,0.8461111111111113,0.0127877237851662,0.0,0.526
129,4,01-12 09:00,논산,0.212,0.4723538704581359,0.17,0.0358056265984654,0.0,0.453
130,4,01-12 10:00,논산,0.22,0.4865718799368089,0.0,0.0102301790281329,0.0,0.4409999999999999
131,4,01-12 11:00,논산,0.196,0.5165876777251186,0.0,0.0102301790281329,0.0,0.385
132,4,01-12 12:00,논산,0.176,0.5339652448657188,0.0652777777777777,0.0383631713554987,0.0,0.356
133,4,01-12 13:00,논산,0.116,0.5418641390205372,0.0480555555555555,0.0383631713554987,0.0,0.3359999999999999
134,4,01-12 14:00,논산,0.112,0.5244865718799369,0.8547222222222223,0.0664961636828644,0.0,0.375
135,4,01-12 15:00,논산,0.116,0.5165876777251186,0.9208333333333334,0.0358056265984654,0.0,0.395
136,4,01-12 16:00,논산,0.132,0.4612954186413902,0.823888888888889,0.0255754475703324,0.0,0.49
137,4,01-12 17:00,논산,0.152,0.4344391785150079,0.8247222222222222,0.0383631713554987,0.0,0.527
138,4,01-12 18:00,논산,0.16,0.4091627172195893,0.9116666666666666,0.0306905370843989,0.0,0.619
139,4,01-12 19:00,논산,0.164,0.372827804107425,0.788611111111111,0.0230179028132992,0.0,0.728
140,4,01-12 20:00,논산,0.144,0.368088467614534,0.8275,0.0230179028132992,0.0,0.7220000000000001
141,4,01-12 21:00,논산,0.164,0.34913112164297,0.0,0.0102301790281329,0.0,0.797
142,4,01-12 22:00,논산,0.18,0.3333333333333333,0.0,0.0051150895140664,0.0,0.828
143,4,01-12 23:00,논산,0.164,0.3175355450236967,0.0,0.0,0.0,0.843
144,4,01-16 00:00,논산,0.144,0.330173775671406,0.0,0.0025575447570332,0.0,0.878
145,4,01-16 01:00,논산,0.14,0.3317535545023697,0.0,0.0076726342710997,0.0,0.8670000000000001
146,4,01-16 02:00,논산,0.12,0.3270142180094787,0.0,0.0076726342710997,0.0,0.883
147,4,01-16 03:00,논산,0.124,0.3191153238546603,0.0,0.0025575447570332,0.0,0.914
148,4,01-16 04:00,논산,0.152,0.3096366508688783,0.0,0.0076726342710997,0.0,0.892
149,4,01-16 05:00,논산,0.12,0.2954186413902054,0.1247222222222222,0.0179028132992327,0.0,0.918
150,4,01-16 06:00,논산,0.12,0.2985781990521327,0.2463888888888889,0.0153452685421994,0.0,0.913
151,4,01-16 07:00,논산,0.188,0.3412322274881517,0.0,0.0051150895140664,0.0,0.86
152,4,01-16 08:00,논산,0.204,0.3838862559241706,0.1936111111111111,0.0179028132992327,0.0,0.6809999999999999
153,4,01-16 09:00,논산,0.224,0.4154818325434439,0.8352777777777778,0.0255754475703324,0.0,0.602
154,4,01-16 10:00,논산,0.216,0.4186413902053713,0.6736111111111112,0.0306905370843989,0.0,0.459
155,4,01-16 11:00,논산,0.14,0.4312796208530806,0.7316666666666666,0.0511508951406649,0.0,0.447
156,4,01-16 12:00,논산,0.136,0.4581358609794629,0.7930555555555556,0.0409207161125319,0.0,0.345
157,4,01-16 13:00,논산,0.148,0.4770932069510269,0.0608333333333333,0.0281329923273657,0.0,0.304
158,4,01-16 14:00,논산,0.112,0.4691943127962086,0.7533333333333333,0.0767263427109974,0.0,0.268
159,4,01-16 15:00,논산,0.1,0.4628751974723539,0.8647222222222223,0.0537084398976982,0.0,0.305
160,4,01-16 16:00,논산,0.124,0.4154818325434439,0.7833333333333333,0.0434782608695652,0.0,0.4619999999999999
161,4,01-16 17:00,논산,0.16,0.3807266982622433,0.7913888888888888,0.0153452685421994,0.0,0.5650000000000001
